i,j,acf_peak_lag_samples,acf_peak_period_days,acf_peak_value,psd_peak_freq_cyc_per_day,psd_peak_period_days,psd_peak_power
57,245,1,0.125,0.9820531915406296,0.0027397260273972603,365.0,140.49886458064321
100,511,1,0.125,0.9762797626069825,0.008219178082191782,121.66666666666666,197.18793994646398
21,624,1,0.125,0.9975781742910396,0.0027397260273972603,365.0,1736.3538324201863
109,27,1,0.125,0.9782142039482624,0.008219178082191782,121.66666666666666,150.091338569835
20,456,1,0.125,0.9973300433564314,0.0027397260273972603,365.0,1860.1673041139418
179,463,1,0.125,0.981220653318524,0.0,inf,105.52199859081601
21,620,1,0.125,0.9975730139256895,0.0027397260273972603,365.0,1737.1946698562422
196,284,1,0.125,0.9845806585707492,0.0027397260273972603,365.0,133.25182056602975
26,325,1,0.125,0.9970131064666679,0.0027397260273972603,365.0,1408.1036512760834
70,93,1,0.125,0.9779671440620119,0.008219178082191782,121.66666666666666,181.04353963342015
106,328,1,0.125,0.9767484488203768,0.0027397260273972603,365.0,154.9988716991052
95,510,1,0.125,0.9764310739089018,0.008219178082191782,121.66666666666666,205.38211211870833
12,423,1,0.125,0.997373025844277,0.0027397260273972603,365.0,1994.7620071309766
65,496,1,0.125,0.9817068784292654,0.0027397260273972603,365.0,175.19950746392954
90,595,1,0.125,0.9774263905896915,0.008219178082191782,121.66666666666666,228.42597778570666
97,558,1,0.125,0.976817751300867,0.008219178082191782,121.66666666666666,212.14904898415944
48,346,1,0.125,0.985044834221896,0.0027397260273972603,365.0,213.64368379054204
31,313,1,0.125,0.9960631239069514,0.0027397260273972603,365.0,1024.4279781207833
148,227,1,0.125,0.975622827274734,0.0027397260273972603,365.0,141.96225331273607
74,377,1,0.125,0.9796892980577221,0.008219178082191782,121.66666666666666,177.32987045193642
98,401,1,0.125,0.9762311779966495,0.008219178082191782,121.66666666666666,179.10158814679062
188,368,1,0.125,0.9851088204823897,0.0027397260273972603,365.0,108.58163021315035
159,543,1,0.125,0.9788693350870687,0.0027397260273972603,365.0,129.33526690875092
120,114,1,0.125,0.9765869062555486,0.0027397260273972603,365.0,146.03291286266915
70,364,1,0.125,0.9796448734892229,0.008219178082191782,121.66666666666666,163.56206246641372
166,677,1,0.125,0.9808999007862281,0.0027397260273972603,365.0,135.5459689468059
130,747,1,0.125,0.9811111097842043,0.008219178082191782,121.66666666666666,149.64766941152314
116,689,1,0.125,0.9789055652847334,0.008219178082191782,121.66666666666666,189.41464651975002
10,311,1,0.125,0.997278225741489,0.0027397260273972603,365.0,2049.854769111839
69,295,1,0.125,0.9795185686189559,0.008219178082191782,121.66666666666666,157.6255587102147
35,469,1,0.125,0.9944959600510698,0.0027397260273972603,365.0,657.3804029528726
191,453,1,0.125,0.9850687449666189,0.0,inf,104.74969429503268
62,280,1,0.125,0.9804391657437415,0.008219178082191782,121.66666666666666,131.8622711588035
19,5,1,0.125,0.9972449114607804,0.0027397260273972603,365.0,1960.9576550237855
